user,pre_postive,pre_negative,post_postive,post_negative,pos_mean,neg_mean,pos_diff,neg_diff
u01,30.0,19.0,27.0,17.0,28.5,18,-3,-2
u02,23.0,15.0,28.0,13.0,25.5,14,5,-2
u03,30.0,27.0,25.0,20.0,27.5,23.5,-5,-7
u04,27.0,14.0,34.0,19.0,30.5,16.5,7,5
u05,32.0,27.0,33.0,17.0,32.5,22,1,-10
u07,30.0,21.0,16.0,17.0,23,19,-14,-4
u09,28.0,11.0,32.0,12.0,30,11.5,4,1
u10,33.0,20.0,43.0,28.0,38,24,10,8
u14,40.0,43.0,36.0,12.0,38,27.5,-4,-31
u15,30.0,25.0,33.0,25.0,31.5,25,3,0
u16,18.0,20.0,17.0,33.0,17.5,26.5,-1,13
u17,31.0,17.0,27.0,37.0,29,27,-4,20
u18,16.0,28.0,17.0,35.0,16.5,31.5,1,7
u19,31.0,22.0,34.0,15.0,32.5,18.5,3,-7
u20,29.0,13.0,25.0,26.0,27,19.5,-4,13
u24,26.0,15.0,22.0,18.0,24,16.5,-4,3
u27,23.0,18.0,19.0,23.0,21,20.5,-4,5
u30,34.0,33.0,34.0,21.0,34,27,0,-12
u31,31.0,17.0,20.0,37.0,25.5,27,-11,20
u32,29.0,14.0,41.0,15.0,35,14.5,12,1
u33,19.0,34.0,26.0,28.0,22.5,31,7,-6
u34,28.0,10.0,24.0,14.0,26,12,-4,4
u35,27.0,12.0,20.0,15.0,23.5,13.5,-7,3
u36,32.0,11.0,32.0,19.0,32,15,0,8
u42,24.0,29.0,36.0,21.0,30,25,12,-8
u43,31.0,18.0,32.0,21.0,31.5,19.5,1,3
u44,32.0,11.0,28.0,22.0,30,16.5,-4,11
u45,27.0,23.0,27.0,18.0,27,20.5,0,-5
u46,34.0,19.0,31.0,34.0,32.5,26.5,-3,15
u47,34.0,31.0,35.0,11.0,34.5,21,1,-20
u51,24.0,14.0,26.0,12.0,25,13,2,-2
u52,40.0,35.0,26.0,39.0,33,37,-14,4
u53,28.0,17.0,33.0,17.0,30.5,17,5,0
u56,22.0,9.0,29.0,15.0,25.5,12,7,6
u59,34.0,21.0,37.0,29.0,35.5,25,3,8